day_of_week,complaint_description,total_requests
1,Austin Code - Request Code Officer,13542
1,Traffic Signal - Maintenance,9240
1,Loose Dog,8243
1,Injured / Sick Animal,6220
1,ARR - Storm Debris Collection,6101
1,ARR Dead Animal Collection,5550
1,APD - Non Emergency Noise/Alarm,5217
1,Park Maintenance - Grounds,4874
1,Loud Commercial Music,4348
1,Animal Control - Assistance Request,4317
1,Street Light Issue- Address,3403
1,Pothole Repair,2843
1,APD - Non Emergency Collision,2141
1,ATD - Parking Violation Enforcement,2055
1,Public Health - Graffiti Abatement,1883
1,Water Waste Report,1882
1,Animal - Proper Care,1876
1,Loud Music,1807
1,Tree Issue ROW,1682
1,Parking Violation Enforcement,1669
1,Animal Bite,1626
1,APD - Vehicle Abatement Report,1589
1,Found Animal Report - Keep,1525
1,Debris in Street,1478
1,Sign - Traffic Sign Maintenance,1456
1,311 CC - Other,1395
1,Found Animal - Pick Up,1374
1,Wildlife Exposure,1296
1,ARR Missed Recycling,1200
1,ACD - Request Code Officer,1149
1,ARR - Dead Animal Collection,1047
1,ATD - Shared Micromobility,1044
1,Tree Issue ROW/Emergency (PW),1022
1,Code Compliance,999
1,Shared Micromobility,996
1,Sidewalk Repair,923
1,DSD - Outdoor Commercial Venue Music Complaint,916
1,AW - Water Conservation Violation,906
1,Obstruction in ROW,886
1,AE Street Light Issue - Address,850
1,Sign - Traffic Sign Emergency,849
1,Animal Protection - Loose Dog,848
1,Graffiti Abatement,847
1,Austin Code - Short Term Rental Complaint SR,836
1,Dockless Mobility,778
1,Sign - New,762
1,Austin Code - Coronavirus,756
1,ARR Missed Yard Trimmings/Compost,729
1,Traffic Signal - Dig Tess Request,650
1,Loose Animal Not Dog,648
1,Park Maintenance - Grounds Plumbing Issues,646
1,Animal Protection - Injured/Sick Animal,644
1,AW - Water Waste Report,622
1,APH - Graffiti Abatement - Public Property,609
1,ARR - Garbage,600
1,Dangerous/Vicious Dog Investigation,572
1,Animal In Vehicle,554
1,Park Maintenance - Pool Issues,536
1,ATD - Concerns in Right of Way,533
1,ARR Brush and Bulk,523
1,ARR - Compost,521
1,Austin Code - Signs/Billboards,488
1,ZZ AFD - Fireworks Complaint,484
1,Public Health - Environmental Services - City,473
1,Coyote Complaints,472
1,Animal Services - Contact Request,461
1,ATD - Traffic Sign Maintenance,459
1,Channels/Creeks/Drainage Easement,447
1,Lost Item in Storm Drainage System,416
1,Pavement Failure,407
1,ARR - Recycling,403
1,Animal Protection - Found Animal Assistance,401
1,Parking Machine Issue,400
1,Pet Resource Center - Assistance Request,349
1,Flooding  Current (Non-Emergency),331
1,Bicycle Issues,313
1,Park Maintenance - Building Plumbing Issues,310
1,Construction Items in ROW,305
1,ARR Street Sweeping,298
1,Concerns in the ROW,295
1,ATD - Lane/Road Closure Notification,290
1,Zz_Loud Commercial Music,278
1,Traffic Signal - New/Change,277
1,SBO - Pothole Repair,264
1,DSD - Request Code Officer,260
1,Park Maintenance - Grounds Electrical Issues,248
1,ARR Missed Yard Trimmings /Organics,248
1,Road Markings/Striping - Maintenance,248
1,Sign - Street Name,244
1,ATD - Construction Items in Right of Way,244
1,DSD - Environmental Complaint,240
1,Tree Issue ROW/Maintenance (PW),236
1,WPD - Channels/Creek/Drainage Issues,236
1,ZZ - AFD - Fireworks Complaint,226
1,Animal Protection - Assistance Request,216
1,ATD - Traffic Signal - Maintenance,208
1,Sign - Parking Sign Maintenance,207
1,Animal Protection - Animal Proper Care,206
1,Creek & Pond Vegetation Control,204
1,Alley & Unpaved Street Maintenance,201
1,View Obstruction at Intersection,201
1,Pet Resource Center - Found Pet Report,189
1,Street Light Issue- Multiple poles/multiple streets,182
1,PWD - Tree Issue Right of Way,181
1,ATD - Speed Management,176
1,Lane/Road Closure Notification,169
1,Animal Trapped in Storm Drain,168
1,ARR - General,166
1,Park Maintenance - Building Issues,166
1,Animal Protection - Animal Bite,166
1,ACD - Short Term Rental Complaint,158
1,Construction items in ROW,154
1,ARR - Street Sweeping,154
1,Community Connections - Coronavirus,144
1,Sidewalk/Curb Ramp/Route - NEW,143
1,ATD - Road Markings/Striping - Maintenance,140
1,Mowing Medians,140
1,ATD - Booting Complaint,138
1,Traffic Engineering - General,136
1,Traffic Calming,136
1,ATD - Traffic Signal Maintenance,125
1,APH - Environmental Health Services - City,120
1,ARR - Bulk,119
1,Mowing City Parks,119
1,Park Maintenance - Building A/C & Heating Issues,117
1,SBO - Debris in Street,117
1,Road Markings/Striping - New,114
1,ATD - Traffic Sign New,108
1,Bat Complaint,106
1,Standing Water,104
1,Flooding Current (Non-Emergency),101
1,ATD - Traffic Sign Emergency,97
1,ATD - Parking Sign Maintenance,94
1,Flooding - Past,89
1,Tree Issue ROW/Emergency (PARD),88
1,Street Lights New,87
1,Animal Protection - Wildlife Exposure,85
1,Speed Management,84
1,ARR - Brush,84
1,AFD - Fireworks Complaint,84
1,Animal Roadside Sales,83
1,WPD - Flooding Current,83
1,School Zone Flasher - Timing/Maintenance,83
1,Park Maintenance - Cemeteries,82
1,SBO - Obstruction in Right of Way,80
1,ARR - On Call Bulk,80
1,Aquatics Hotline Inquiry,79
1,WPD - Lost Item in Storm Drainage System,79
1,Street Resurfacing,77
1,ATD - Street Name Sign Maintenance,76
1,Tree Issue ROW/Maintenance (PARD),74
1,SBO - Sidewalk Repair,73
1,ARR - Special Services,71
1,AE Street Light Issue - No Address,69
1,Curb/Gutter Repair,69
1,Guardrail New/Repair,69
1,ATD - Special Event,68
1,APD - Vehicle Abatement Callback Request,68
1,ATD - Parking Machine Issue,66
1,Animal Protection - Loose Animal Not Dog,65
1,TARA - Telecommunication Complaint,61
1,Zz_ARR - Storm Debris Collection,58
1,WPD - Standing Water,54
1,Animal Protection - Vicious Dog Complaint,54
1,Construction Items- ROW,49
1,ATD - Road Markings/Striping - New,49
1,PARD - Aquatic Maintenance,48
1,Loose Animal (not dog),45
1,Speed Limit - Changes/Signs,45
1,ATD - Dig Tess Request,44
1,Animal Protection - Coyote Complaints,43
1,Park Maintenance - Building Electrical Issues,43
1,WPD - Drainage Pond Maintenance,41
1,AFD - Wildfire Concern / Presentation,39
1,Storm Drain Pipe Services,39
1,Animal Protection - Animal In Vehicle,38
1,311 CRIS - City Vehicle Report,37
1,SBO - Pavement Failure,35
1,Animal Protection - Dangerous Dog Complaint,35
1,ARR - Spillage Trash/Fluids,34
1,DSD - Follow-Up,34
1,SBO - New Sidewalk/Curb Ramp/Route,33
1,WPD - Storm Drain Services,32
1,Code Compliance - Signs/Billboards,32
1,ATD - School Zone Beacon - Maintenance,31
1,SBO - Street and Bridge Miscellaneous,30
1,AE - Electric Vehicle Station Issues,30
1,ATD - Traffic Signal - New/Modification,30
1,Bridge Repair,30
1,Guardrail Repair,29
1,Short Term Rental Complaint SR,28
1,Ditch/Driveway Pipe Services,28
1,Sign - School Zone Sign Maintenance,27
1,Neighborhood Home Programs,26
1,Animal Protection - Dog Restraint Issues,26
1,Street Resurfacing Inquiry,24
1,ATD - View Obstruction and Fencing at Intersection,24
1,WPD - Lady Bird Lake Debris Issues,23
1,Public Health - Environmental Services - County,23
1,SBO - Alley & Unpaved Street Maintenance,23
1,ARR - Pet Search,22
1,WPD - Ditch/Driveway Pipe Services,21
1,DSD - Short Term Rental Complaint,21
1,ACD - Case Updates/Code Connect Messages,21
1,PARD - Aquatic Inquiries/Issues,21
1,ATD - Bicycle &amp; Pedestrian Issues,21
1,Austin Code - Construction Rest Break Complaint,21
1,AE - Key Accounts,20
1,ARR - Property Damage Report,20
1,SBO - Street Resurfacing,19
1,ATD - Traffic Signal - New,19
1,ZZ Park Maintenance - Pool Issues,18
1,CPIO - Community Voices,17
1,SBO - Guardrail New/Repair,17
1,ZZ - Tree Issue ROW,16
1,Water Theft Report,16
1,School Zone - New/Review/Changes,15
1,WPD - Watershed Grow Zone Issues,15
1,Roadway Spillage,15
1,Construction/Permitting- ROW,15
1,WPD - Flooding Past,14
1,Barricade Request,14
1,PARD - Commercial Use of Parkland,13
1,PWD - Mowing Medians,12
1,ATD - School Zone Sign Maintenance,12
1,Parking Ticket Complaint,11
1,AW - Water Theft Report,11
1,Animal Protection - Animal Trapped in Storm Drain,11
1,ATD - Traffic Signal - Modification,11
1,ATD - Construction Concerns in Right of Way,11
1,Town Lake Debris Issues,11
1,SBO - Utility Cut Repair,10
1,SBO - Curb/Gutter Repair,10
1,ERM - Harmful Algae,9
1,Austin Code - Short Term Rental (STR) Appointment,8
1,ATD - Pay-by-Phone App,8
1,Corridor Program Office - Corridor Feedback,8
1,ARR - On Call Brush,8
1,Ordinance Single-Use Carryout Bags,8
1,APH - Environmental Health Services - County,7
1,Dangerous Animal - Except Dogs,7
1,ARR - Household Hazardous Waste,7
1,Ordinance Universal Recycling,7
1,WPD - Erosion,6
1,HPD - Neighborhood Home Programs,6
1,Drainage - Miscellaneous,6
1,APH - Community Connections Coronavirus,6
1,ACD - Billboard Complaint,6
1,Residential Parking Permit Enforcement,6
1,EV PIE Station Issues,6
1,ZZZ ARR Missed Recycling,5
1,APD - Non Emergency Hands Free Violation,5
1,Park Maintenance - Building A/C &amp; Heating Issues,5
1,Fence/Wall Repair,5
1,ARR Dumpster,5
1,Basic Needs - Appointment,4
1,AFD - Wildfire Education,4
1,Animal Protection - Animal Roadside Sales,4
1,CPIO - Community Engagement Project Feedback,4
1,PW - School Zone - New/Review/Changes,4
1,Code Compliance - Short Term Rental (STR) Appointment,4
1,ZZ Creek & Pond Vegetation Control,4
1,Flood Report,4
1,HSEM Heat Advisory,3
1,DSD - Case Updates/Code Connect Messages,3
1,ZZZ ARR Brush and Bulk,3
1,Obstruction - Urban Forestry,3
1,PARD - Aquatic Program Inquiries,3
1,Zz_Traffic Engineering - General,3
1,Vendor Permit - ROW,2
1,Newspaper Rack- ROW,2
1,SBO - Bridge Repair,2
1,Valet Permit - ROW,2
1,ACD - Construction Rest Break Complaint,2
1,Filming Permit - ROW,2
1,DSD - Billboard Complaint,2
1,SBO - Roadway Spillage,2
1,Parking Permit- ROW,2
1,ATD - Bicycle & Pedestrian Issues,2
1,ZZ Creek &amp; Pond Vegetation Control,2
1,Corridor Program - Corridor Feedback,1
1,ZZ Mowing Medians,1
1,PW - School Issues - Crossing Guards,1
1,ZZ ARR - Storm Debris Collection,1
1,HD - Neighborhood Home Programs,1
1,Flooding - Storms After Business Hours,1
1,Construction Ordinance SR,1
1,HSEM - Heat Advisory,1
1,ZZ Mowing City Parks,1
1,EV PIP Residential Rebate,1
1,Guardrail - New,1
1,ZZ Corridor Program - Corridor Feedback,1
1,ATD - Traffic Engineering - General,1
1,Road Sanding Request,1
1,Austin Code - Construction Ordinance SR,1
1,APH - Health Equity Line,1
1,Fence Repair - MOPAC,1
2,Austin Code - Request Code Officer,38781
2,Traffic Signal - Maintenance,14707
2,Loose Dog,12485
2,ARR - Storm Debris Collection,9911
2,ARR Missed Recycling,9177
2,Animal Control - Assistance Request,8992
2,Street Light Issue- Address,8723
2,ARR Dead Animal Collection,8485
2,Injured / Sick Animal,7532
2,Park Maintenance - Grounds,6973
2,ARR - Garbage,6041
2,ARR Missed Yard Trimmings/Compost,4955
2,Pothole Repair,4929
2,ATD - Parking Violation Enforcement,4301
2,ATD - Shared Micromobility,4086
2,ARR - Compost,3787
2,Tree Issue ROW,3612
2,Debris in Street,3469
2,ARR Brush and Bulk,3453
2,Code Compliance,3261
2,APD - Vehicle Abatement Report,3196
2,ARR - Recycling,3187
2,APD - Non Emergency Collision,2898
2,Graffiti Abatement,2833
2,Traffic Signal - Dig Tess Request,2802
2,ACD - Request Code Officer,2684
2,APD - Non Emergency Noise/Alarm,2585
2,Animal - Proper Care,2531
2,Sign - Traffic Sign Maintenance,2492
2,Public Health - Graffiti Abatement,2444
2,ARR Missed Yard Trimmings /Organics,2312
2,Water Waste Report,2302
2,Obstruction in ROW,2195
2,Wildlife Exposure,2120
2,Sidewalk Repair,2059
2,Animal Bite,2048
2,Lane/Road Closure Notification,2034
2,Found Animal - Pick Up,1978
2,Sign - New,1971
2,Austin Code - Short Term Rental Complaint SR,1946
2,Parking Violation Enforcement,1867
2,Found Animal Report - Keep,1842
2,311 CC - Other,1802
2,AE Street Light Issue - Address,1741
2,ARR - Dead Animal Collection,1681
2,Shared Micromobility,1643
2,Loud Commercial Music,1620
2,DSD - Follow-Up,1608
2,Parking Machine Issue,1538
2,Pavement Failure,1445
2,Concerns in the ROW,1362
2,Channels/Creeks/Drainage Easement,1280
2,Sign - Traffic Sign Emergency,1246
2,ATD - Traffic Sign Maintenance,1229
2,Public Health - Environmental Services - City,1152
2,Traffic Signal - New/Change,1127
2,Animal Protection - Loose Dog,1125
2,AW - Water Conservation Violation,1100
2,Sign - Street Name,1078
2,Animal Services - Contact Request,1005
2,ATD - Concerns in Right of Way,982
2,APH - Graffiti Abatement - Public Property,927
2,Dangerous/Vicious Dog Investigation,925
2,Tree Issue ROW/Maintenance (PW),905
2,Dockless Mobility,902
2,Loose Animal Not Dog,901
2,ARR Street Sweeping,900
2,Aquatics Hotline Inquiry,878
2,Austin Code - Signs/Billboards,873
2,School Zone Flasher - Timing/Maintenance,870
2,Pet Resource Center - Assistance Request,866
2,Road Markings/Striping - Maintenance,850
2,ATD - Lane/Road Closure Notification,843
2,Tree Issue ROW/Emergency (PW),841
2,Community Connections - Coronavirus,840
2,ARR - General,838
2,View Obstruction at Intersection,826
2,Traffic Engineering - General,797
2,Creek & Pond Vegetation Control,780
2,Animal Protection - Injured/Sick Animal,751
2,WPD - Channels/Creek/Drainage Issues,740
2,ARR - Bulk,732
2,Coyote Complaints,701
2,Alley & Unpaved Street Maintenance,700
2,Bicycle Issues,699
2,Loud Music,693
2,Austin Code - Coronavirus,666
2,ATD - Parking Sign Maintenance,641
2,Park Maintenance - Grounds Plumbing Issues,639
2,DSD - Request Code Officer,626
2,DSD - Environmental Complaint,588
2,Construction Items in ROW,575
2,ATD - Construction Items in Right of Way,562
2,Flooding  Current (Non-Emergency),552
2,AW - Water Waste Report,552
2,Animal Protection - Assistance Request,544
2,Animal Protection - Found Animal Assistance,540
2,Sign - Parking Sign Maintenance,534
2,Mowing Medians,519
2,PWD - Tree Issue Right of Way,512
2,ARR - Brush,472
2,Street Lights New,468
2,Traffic Calming,467
2,Street Light Issue- Multiple poles/multiple streets,462
2,Road Markings/Striping - New,449
2,Park Maintenance - Pool Issues,413
2,Lost Item in Storm Drainage System,410
2,Animal In Vehicle,410
2,ARR - On Call Bulk,395
2,Sidewalk/Curb Ramp/Route - NEW,386
2,Park Maintenance - Grounds Electrical Issues,385
2,ATD - Traffic Sign New,371
2,Construction items in ROW,367
2,Mowing City Parks,346
2,SBO - Pothole Repair,344
2,ATD - Speed Management,344
2,Curb/Gutter Repair,342
2,ATD - Traffic Signal - Maintenance,323
2,Standing Water,311
2,ARR - Street Sweeping,307
2,Tree Issue ROW/Maintenance (PARD),302
2,Animal Protection - Animal Proper Care,298
2,ATD - Street Name Sign Maintenance,292
2,ATD - Dig Tess Request,288
2,ATD - Road Markings/Striping - Maintenance,273
2,SBO - Debris in Street,272
2,APH - Environmental Health Services - City,268
2,Flooding - Past,268
2,Tree Issue ROW/Emergency (PARD),264
2,Animal Protection - Animal Bite,252
2,Street Resurfacing,251
2,SBO - Obstruction in Right of Way,243
2,DSD - Outdoor Commercial Venue Music Complaint,240
2,Park Maintenance - Building Plumbing Issues,239
2,Pet Resource Center - Found Pet Report,231
2,ATD - Traffic Signal Maintenance,225
2,ARR - Spillage Trash/Fluids,222
2,Speed Management,218
2,Bat Complaint,195
2,Austin Code - Short Term Rental (STR) Appointment,193
2,Animal Trapped in Storm Drain,187
2,APD - Vehicle Abatement Callback Request,175
2,ARR - Special Services,168
2,Construction Items- ROW,167
2,ZZ AFD - Fireworks Complaint,164
2,ATD - Parking Machine Issue,158
2,Zz_ARR - Storm Debris Collection,157
2,WPD - Flooding Current,156
2,ATD - Traffic Sign Emergency,154
2,SBO - Sidewalk Repair,149
2,AE Street Light Issue - No Address,148
2,TARA - Telecommunication Complaint,147
2,ATD - Road Markings/Striping - New,143
2,School Zone - New/Review/Changes,139
2,WPD - Standing Water,136
2,Flooding Current (Non-Emergency),133
2,ACD - Short Term Rental Complaint,130
2,Ditch/Driveway Pipe Services,127
2,Sign - School Zone Sign Maintenance,126
2,Speed Limit - Changes/Signs,125
2,ATD - Traffic Signal - New/Modification,121
2,Park Maintenance - Building Issues,118
2,Animal Protection - Wildlife Exposure,116
2,Code Compliance - Signs/Billboards,116
2,SBO - Pavement Failure,115
2,WPD - Drainage Pond Maintenance,112
2,Construction/Permitting- ROW,111
2,Guardrail New/Repair,111
2,ATD - School Zone Beacon - Maintenance,109
2,Street Resurfacing Inquiry,106
2,WPD - Storm Drain Services,105
2,Neighborhood Home Programs,104
2,AFD - Fireworks Complaint,99
2,Storm Drain Pipe Services,98
2,ARR - Property Damage Report,96
2,ATD - Booting Complaint,95
2,SBO - New Sidewalk/Curb Ramp/Route,93
2,Code Compliance - Short Term Rental (STR) Appointment,91
2,ACD - Case Updates/Code Connect Messages,88
2,SBO - Street and Bridge Miscellaneous,88
2,ATD - View Obstruction and Fencing at Intersection,79
2,ATD - Bicycle &amp; Pedestrian Issues,76
2,Animal Protection - Coyote Complaints,73
2,Zz_Loud Commercial Music,72
2,Animal Protection - Vicious Dog Complaint,68
2,School Issues - Crossing Guards,65
2,Water Theft Report,64
2,Bridge Repair,63
2,Drainage - Miscellaneous,63
2,Roadway Spillage,62
2,WPD - Lost Item in Storm Drainage System,60
2,Guardrail Repair,60
2,ATD - School Zone Sign Maintenance,59
2,Parking Ticket Complaint,58
2,311 CRIS - City Vehicle Report,58
2,Public Health - Environmental Services - County,56
2,Animal Protection - Loose Animal Not Dog,56
2,Loose Animal (not dog),55
2,Barricade Request,50
2,SBO - Street Resurfacing,49
2,SBO - Alley & Unpaved Street Maintenance,48
2,Park Maintenance - Building Electrical Issues,47
2,Austin Code - Construction Rest Break Complaint,47
2,ARR - Household Hazardous Waste,47
2,ZZ - Tree Issue ROW,45
2,Park Maintenance - Building A/C & Heating Issues,45
2,Animal Protection - Dangerous Dog Complaint,43
2,Short Term Rental Complaint SR,42
2,AFD - Wildfire Concern / Presentation,42
2,WPD - Flooding Past,41
2,Corridor Program Office - Corridor Feedback,41
2,ARR - On Call Brush,41
2,APH - Community Connections Coronavirus,40
2,SBO - Utility Cut Repair,40
2,ATD - Construction Concerns in Right of Way,39
2,ATD - Special Event,38
2,AW - Water Theft Report,38
2,PWD - Mowing Medians,37
2,WPD - Watershed Grow Zone Issues,36
2,ARR - Pet Search,35
2,ZZZ ARR Dead Animal Collection,34
2,Animal Protection - Animal In Vehicle,34
2,ATD - Pay-by-Phone App,34
2,Park Maintenance - Cemeteries,33
2,WPD - Ditch/Driveway Pipe Services,33
2,Vendor Permit - ROW,32
2,Basic Needs - Appointment,32
2,AE - Electric Vehicle Station Issues,31
2,PARD - Aquatic Maintenance,31
2,ZZZ ARR Missed Yard Trimmings/Compost,30
2,SBO - Curb/Gutter Repair,29
2,HPD - Neighborhood Home Programs,26
2,Animal Protection - Dog Restraint Issues,24
2,Parking Permit- ROW,24
2,ATD - Traffic Signal - Modification,23
2,WPD - Lady Bird Lake Debris Issues,23
2,WPD - Erosion,23
2,Ordinance Universal Recycling,22
2,ZZZ ARR Missed Recycling,21
2,Animal Roadside Sales,21
2,PW - School Issues - Crossing Guards,20
2,AE - Key Accounts,20
2,Town Lake Debris Issues,19
2,ATD - Traffic Signal - New,19
2,Flood Report,19
2,Zz_Traffic Engineering - General,18
2,DSD - Short Term Rental Complaint,18
2,PW - School Zone - New/Review/Changes,18
2,Residential Parking Permit Enforcement,17
2,EV PIE Station Issues,17
2,SBO - Guardrail New/Repair,16
2,ARR Dumpster,14
2,APH - Environmental Health Services - County,14
2,CPIO - Community Voices,13
2,Filming Permit - ROW,12
2,ZZZ ARR Brush and Bulk,12
2,SBO - Bridge Repair,12
2,Dangerous Animal - Except Dogs,11
2,PARD - Aquatic Inquiries/Issues,11
2,AFD - Wildfire Education,11
2,Ordinance Single-Use Carryout Bags,10
2,Austin Code - Construction Ordinance SR,10
2,Fence/Wall Repair,10
2,ZZ Creek &amp; Pond Vegetation Control,10
2,ACD - Billboard Complaint,10
2,ATD - Bicycle & Pedestrian Issues,9
2,APH - Health Equity Line,8
2,Emergency Road Closure Report,8
2,SBO - Roadway Spillage,8
2,Obstruction - Urban Forestry,7
2,Construction Ordinance SR,7
2,Animal Protection - Animal Trapped in Storm Drain,7
2,DSD - Case Updates/Code Connect Messages,7
2,Valet Permit - ROW,7
2,ZZ Park Maintenance - Pool Issues,6
2,EV PIP Residential Rebate,6
2,Flooding - Storms After Business Hours,6
2,PARD - Commercial Use of Parkland,6
2,zz - Coyote Compliants,5
2,ZZ Mowing City Parks,5
2,ZZZ - DO NOT USE - ERM - Harmful Algae,5
2,APD - Non Emergency Hands Free Violation,4
2,ZZ Creek & Pond Vegetation Control,4
2,Fence Repair - MOPAC,4
2,Newspaper Rack- ROW,4
2,HSEM - Heat Advisory,4
2,CPIO - Community Engagement Project Feedback,3
2,ACD - Construction Rest Break Complaint,3
2,Basic Needs - Information Referral,3
2,Guardrail - New,3
2,Zzz_Speed Limit - Changes/Signs,3
2,PARD - Aquatic Program Inquiries,3
2,Road Sanding Request,2
2,Flooding - Storms During Business Hours,2
2,DSD - Billboard Complaint,2
2,ERM - Harmful Algae,2
2,Utility Coordination - ROW,2
2,ZZ CRM - Configuration Test Waheed,2
2,ZZZ ARR Street Sweeping,2
2,ZZ Mowing Medians,2
2,Animal Protection - Animal Roadside Sales,1
2,LeadSmart Program,1
2,ZZ Corridor Program - Corridor Feedback,1
2,Traffic Engineering - Jurisdiction Issue,1
2,Heat Advisory,1
2,Zz_ATD - Concerns in Right of Way,1
2,Park Maintenance - Building A/C &amp; Heating Issues,1
2,Corridor Program - Corridor Feedback,1
2,ZZ - AFD - Fireworks Complaint,1
3,Austin Code - Request Code Officer,39467
3,Traffic Signal - Maintenance,15718
3,Loose Dog,12596
3,ARR Missed Recycling,10391
3,Animal Control - Assistance Request,9118
3,Street Light Issue- Address,8461
3,ARR - Storm Debris Collection,7787
3,ARR Dead Animal Collection,7738
3,Injured / Sick Animal,7296
3,ARR - Garbage,6918
3,ARR Missed Yard Trimmings/Compost,6363
3,Park Maintenance - Grounds,6334
3,Pothole Repair,5137
3,ARR - Compost,4856
3,ATD - Parking Violation Enforcement,4646
3,ATD - Shared Micromobility,3814
3,ARR - Recycling,3598
3,Debris in Street,3466
3,APD - Vehicle Abatement Report,3355
3,Tree Issue ROW,3323
3,Code Compliance,3121
3,Traffic Signal - Dig Tess Request,2856
3,APD - Non Emergency Collision,2805
3,Public Health - Graffiti Abatement,2728
3,Graffiti Abatement,2707
3,ACD - Request Code Officer,2603
3,Water Waste Report,2553
3,Sign - Traffic Sign Maintenance,2512
3,ARR Missed Yard Trimmings /Organics,2483
3,Animal - Proper Care,2457
3,Obstruction in ROW,2275
3,ARR Brush and Bulk,2222
3,Sidewalk Repair,2190
3,APD - Non Emergency Noise/Alarm,2167
3,Lane/Road Closure Notification,2162
3,Sign - New,2156
3,Wildlife Exposure,2059
3,Parking Violation Enforcement,1979
3,Animal Bite,1842
3,AE Street Light Issue - Address,1836
3,Found Animal - Pick Up,1784
3,Found Animal Report - Keep,1746
3,DSD - Follow-Up,1733
3,Austin Code - Short Term Rental Complaint SR,1715
3,Parking Machine Issue,1709
3,ARR - Dead Animal Collection,1697
3,Shared Micromobility,1628
3,311 CC - Other,1605
3,Pavement Failure,1587
3,Loud Commercial Music,1498
3,Concerns in the ROW,1483
3,Sign - Traffic Sign Emergency,1309
3,AW - Water Conservation Violation,1306
3,Traffic Signal - New/Change,1262
3,Channels/Creeks/Drainage Easement,1234
3,Public Health - Environmental Services - City,1155
3,Animal Protection - Loose Dog,1146
3,ATD - Traffic Sign Maintenance,1099
3,ATD - Concerns in Right of Way,1065
3,Austin Code - Signs/Billboards,1007
3,Animal Services - Contact Request,997
3,ATD - Lane/Road Closure Notification,984
3,Pet Resource Center - Assistance Request,902
3,Sign - Street Name,892
3,Tree Issue ROW/Maintenance (PW),886
3,ARR Street Sweeping,883
3,Road Markings/Striping - Maintenance,880
3,Traffic Engineering - General,865
3,ARR - General,836
3,View Obstruction at Intersection,834
3,Creek & Pond Vegetation Control,824
3,Dangerous/Vicious Dog Investigation,819
3,Dockless Mobility,818
3,Animal Protection - Injured/Sick Animal,801
3,School Zone Flasher - Timing/Maintenance,789
3,AW - Water Waste Report,774
3,Austin Code - Coronavirus,767
3,Aquatics Hotline Inquiry,766
3,Loose Animal Not Dog,765
3,APH - Graffiti Abatement - Public Property,750
3,Community Connections - Coronavirus,739
3,ATD - Parking Sign Maintenance,726
3,Alley & Unpaved Street Maintenance,704
3,DSD - Request Code Officer,703
3,WPD - Channels/Creek/Drainage Issues,698
3,Bicycle Issues,670
3,Coyote Complaints,663
3,Sign - Parking Sign Maintenance,654
3,Tree Issue ROW/Emergency (PW),647
3,DSD - Environmental Complaint,631
3,Construction Items in ROW,613
3,Park Maintenance - Grounds Plumbing Issues,606
3,ZZ AFD - Fireworks Complaint,592
3,Loud Music,584
3,Mowing Medians,581
3,ATD - Construction Items in Right of Way,536
3,ARR - Bulk,530
3,Animal Protection - Found Animal Assistance,528
3,Traffic Calming,526
3,Park Maintenance - Grounds Electrical Issues,516
3,Road Markings/Striping - New,498
3,Animal Protection - Assistance Request,492
3,Sidewalk/Curb Ramp/Route - NEW,445
3,Street Lights New,442
3,Animal In Vehicle,436
3,Park Maintenance - Pool Issues,432
3,Street Light Issue- Multiple poles/multiple streets,431
3,SBO - Pothole Repair,409
3,Construction items in ROW,408
3,Flooding  Current (Non-Emergency),402
