year,complaint_description,average_resolution_time
2014,Basic Needs - Information Referral,0.0
2014,Austin Code - Construction Ordinance SR,0.0
2014,Filming Permit - ROW,0.0
2014,Dead Bird,0.0
2014,Loud Music,0.0073822530636350157
2014,Road Sanding Request,0.042553191489361715
2014,Traffic Signal - Dig Tess Request,0.098879551820728273
2014,Emergency Road Closure Report,0.26315789473684215
2014,Vendor Permit - ROW,0.29629629629629628
2014,Parking Permit- ROW,0.5714285714285714
2014,Sign - Traffic Sign Emergency,0.61591695501730115
2014,Mowing City Parks,0.63793103448275879
2014,Street Lights New,0.65612648221343872
2014,Park Maintenance - Cemeteries,0.66666666666666663
2014,Parking Machine Issue,0.9872654155495979
2014,Park Maintenance - Pool Issues,1.0773067331670823
2014,Construction/Permitting- ROW,1.2000000000000002
2014,Code Compliance - Short Term Rental (STR) Appointment,1.3594202898550727
2014,Roadway Spillage,1.5161290322580647
2014,Construction Ordinance SR,1.956521739130435
2014,Austin Code - Request Code Officer,1.9938786867000553
2014,Park Maintenance - Grounds,2.0194174757281549
2014,Austin Code - Short Term Rental (STR) Appointment,2.3333333333333339
2014,Code Compliance,2.7352232618073833
2014,ARR Street Sweeping,2.8094339622641509
2014,Valet Permit - ROW,3.0
2014,ARR Dead Animal Collection,3.0303141649825474
2014,Austin Code - Signs/Billboards,3.6071428571428572
2014,Tree Issue ROW/Maintenance (PW),3.8108108108108105
2014,Parking Ticket Complaint,3.825174825174825
2014,Concerns in the ROW,3.8649262202043126
2014,Street Light Issue- Multiple poles/multiple streets,3.890710382513662
2014,Park Maintenance - Grounds Electrical Issues,3.9096385542168672
2014,ARR Missed Recycling,4.0169831994156331
2014,Code Compliance - Signs/Billboards,4.0240811153358687
2014,Park Maintenance - Grounds Plumbing Issues,4.3852242744063323
2014,Street Light Issue- Address,4.4269785745518133
2014,Loose Animal Not Dog,4.56578947368421
2014,Park Maintenance - Building Issues,4.615384615384615
2014,Construction Items- ROW,5.0497630331753545
2014,Park Maintenance - Building Plumbing Issues,5.7410071942446042
2014,Sign - Traffic Sign Maintenance,6.2214411247803163
2014,Park Maintenance - Building A/C & Heating Issues,6.27906976744186
2014,Park Maintenance - Building Electrical Issues,7.5555555555555554
2014,ARR Missed Yard Trimmings /Organics,7.6288461538461547
2014,Graffiti Abatement,7.9331578947368415
2014,Aquatics Hotline Inquiry,8.92526690391459
2014,Sign - School Zone Sign Maintenance,9.9027777777777786
2014,Tree Issue ROW/Maintenance (PARD),11.787137165623223
2014,Sign - Parking Sign Maintenance,11.805940594059408
2014,Traffic Signal - Maintenance,12.63624250499667
2014,Water Waste Report,13.385943023497607
2014,Utility Coordination - ROW,13.5
2014,Lost Item in Storm Drainage System,15.519230769230768
2014,Coyote Complaints,17.304975922953449
2014,School Zone Flasher - Timing/Maintenance,17.759643916913948
2014,Tree Issue ROW/Emergency (PARD),19.481988472622472
2014,Mowing Medians,19.811808118081178
2014,Debris in Street,22.729244114002473
2014,Obstruction - Urban Forestry,23.437500000000004
2014,School Issues - Crossing Guards,26.225806451612904
2014,School Zone - New/Review/Changes,27.089108910891088
2014,View Obstruction at Intersection,27.686424474187383
2014,Flooding  Current (Non-Emergency),31.029411764705884
2014,Sidewalk/Curb Ramp/Route - NEW,33.33073929961089
2014,Dangerous Animal - Except Dogs,33.9041095890411
2014,Pothole Repair,35.034702549575073
2014,Traffic Signal - New/Change,36.558345642540615
2014,Traffic Calming,38.304733727810657
2014,Parking Violation Enforcement,40.19047619047619
2014,Curb/Gutter Repair,40.473451327433629
2014,Found Animal Report - Keep,40.750933997509335
2014,Speed Limit - Changes/Signs,41.596330275229363
2014,Sidewalk Repair,43.653037383177576
2014,Obstruction in ROW,47.259724715739083
2014,Animal Bite,49.899135446685875
2014,Traffic Engineering - General,53.57932692307692
2014,Creek & Pond Vegetation Control,55.885572139303484
2014,Flooding - Past,58.125
2014,Sign - Street Name,60.897003745318358
2014,Road Markings/Striping - New,63.607407407407408
2014,Sign - New,64.1875
2014,Dangerous/Vicious Dog Investigation,68.613445378151255
2014,Injured / Sick Animal,72.218620521569576
2014,Wildlife Exposure,74.527156549520768
2014,Channels/Creeks/Drainage Easement,75.83574244415243
2014,ARR Dumpster,87.999999999999986
2014,Flood Report,89.965034965034974
2014,Pavement Failure,90.889178617992187
2014,Standing Water,91.054421768707471
2014,Animal Trapped in Storm Drain,91.752475247524771
2014,Tree Issue ROW/Emergency (PW),94.500000000000028
2014,Loose Dog,97.963718356052041
2014,Street Resurfacing Inquiry,100.54824561403508
2014,Ditch/Driveway Pipe Services,109.15853658536587
2014,Bicycle Issues,109.77184466019416
2014,Drainage - Miscellaneous,109.94230769230769
2014,Road Markings/Striping - Maintenance,110.59008264462811
2014,Animal Roadside Sales,116.71999999999998
2014,ARR Brush and Bulk,117.86666666666667
2014,Loose Animal (not dog),124.30601092896175
2014,Found Animal - Pick Up,127.41117764471056
2014,Fence Repair - MOPAC,141.0
2014,Flooding - Storms After Business Hours,153.86597938144331
2014,Barricade Request,154.2777777777778
2014,Bat Complaint,158.43215613382898
2014,LeadSmart Program,162.68421052631578
2014,Guardrail Repair,174.61038961038957
2014,Alley & Unpaved Street Maintenance,189.23019801980195
2014,Animal - Proper Care,193.08450704225348
2014,Bridge Repair,219.07142857142856
2014,Town Lake Debris Issues,227.06250000000003
2014,Animal Control - Assistance Request,242.16429924242428
2014,Guardrail - New,251.14285714285714
2014,Flooding - Storms During Business Hours,307.3125
2014,Animal In Vehicle,347.4
2014,Storm Drain Pipe Services,383.56
2014,Water Theft Report,588.90740740740739
2014,Traffic Engineering - Jurisdiction Issue,1026.0
2014,Ordinance Universal Recycling,1378.125
2014,Ordinance Single-Use Carryout Bags,1441.4137931034484
2014,EV PIE Station Issues,1602.5833333333335
2014,EV PIP Residential Rebate,1604.3571428571429
2014,Basic Needs - Appointment,1668.0431654676258
2014,AW - Water Waste Report,2293.0
2014,Animal Protection - Dangerous Dog Complaint,3109.0
2014,AW - Water Conservation Violation,3127.0
2014,Animal Protection - Vicious Dog Complaint,3254.0
2014,Animal Protection - Assistance Request,3299.2
2014,Animal Protection - Loose Dog,3360.7142857142858
2014,Animal Protection - Injured/Sick Animal,3397.4
2014,Animal Protection - Animal Proper Care,3414.0
2015,Loud Music,0.0
2015,Lane/Road Closure Notification,0.0
2015,Utility Coordination - ROW,0.0
2015,Newspaper Rack- ROW,0.0
2015,Heat Advisory,0.0
2015,Filming Permit - ROW,0.0
2015,Traffic Signal - Dig Tess Request,0.073797891488814646
2015,Vendor Permit - ROW,0.076923076923076927
2015,Road Sanding Request,0.25
2015,Austin Code - Short Term Rental Complaint SR,0.4940119760479042
2015,Fence Repair - MOPAC,0.5
2015,Mowing City Parks,0.55154639175257725
2015,Austin Code - Construction Ordinance SR,0.66981132075471717
2015,Street Lights New,0.67622950819672145
2015,Park Maintenance - Grounds Electrical Issues,0.72052401746724881
2015,Austin Code - Short Term Rental (STR) Appointment,0.81000000000000016
2015,Park Maintenance - Grounds Plumbing Issues,0.81333333333333346
2015,Valet Permit - ROW,0.875
2015,Park Maintenance - Building Issues,0.912280701754386
2015,Park Maintenance - Cemeteries,0.94736842105263175
2015,Park Maintenance - Building A/C & Heating Issues,0.95081967213114749
2015,WPD - Channels/Creek/Drainage Issues,1.0
2015,Construction/Permitting- ROW,1.064516129032258
2015,Park Maintenance - Building Plumbing Issues,1.088235294117647
2015,Austin Code - Signs/Billboards,1.0978593272171253
2015,Park Maintenance - Pool Issues,1.112781954887218
2015,Parking Permit- ROW,1.3076923076923075
2015,Austin Code - Request Code Officer,1.3829597611514637
2015,Sign - Traffic Sign Emergency,1.4026666666666663
2015,Loud Commercial Music,1.4764267990074442
2015,Park Maintenance - Grounds,1.7403204272363153
2015,Park Maintenance - Building Electrical Issues,2.0
2015,Short Term Rental Complaint SR,2.1978417266187047
2015,WPD - Ditch/Driveway Pipe Services,3.0
2015,Concerns in the ROW,3.0044052863436126
2015,Sign - Traffic Sign Maintenance,3.559354226020893
2015,Construction Items- ROW,4.0274599542334091
2015,Street Light Issue- Address,4.3116490166414518
2015,ARR Street Sweeping,4.4055023923444976
2015,Sign - Parking Sign Maintenance,4.4745762711864412
2015,ARR Missed Recycling,4.634647234183503
2015,School Zone Flasher - Timing/Maintenance,5.1550561797752819
2015,Street Light Issue- Multiple poles/multiple streets,5.3290734824281145
2015,Sign - School Zone Sign Maintenance,5.5476190476190483
2015,Traffic Signal - Maintenance,5.9644154867811059
2015,Water Waste Report,6.0402684563758386
2015,Parking Machine Issue,6.2673796791443852
2015,ARR Dead Animal Collection,6.5690483819288694
2015,Roadway Spillage,6.6285714285714281
2015,Pothole Repair,8.5998906805138
2015,ARR Missed Yard Trimmings /Organics,10.263689634269554
2015,Barricade Request,12.8034188034188
2015,Emergency Road Closure Report,14.774193548387098
2015,Debris in Street,15.628964691801318
2015,Ditch/Driveway Pipe Services,16.559139784946236
2015,Graffiti Abatement,16.665020888720097
2015,Aquatics Hotline Inquiry,17.276453765490942
2015,Lost Item in Storm Drainage System,17.756272401433691
2015,Guardrail Repair,18.142857142857142
2015,Found Animal Report - Keep,19.180910099889012
2015,Flooding Current (Non-Emergency),20.0
2015,Storm Drain Pipe Services,21.615384615384617
2015,Sidewalk/Curb Ramp/Route - NEW,23.250746268656716
2015,View Obstruction at Intersection,23.434844192634554
2015,Flooding - Past,23.507128309572302
2015,Creek & Pond Vegetation Control,24.180000000000003
2015,Flooding  Current (Non-Emergency),25.200238379022643
2015,Sidewalk Repair,28.063218390804597
2015,Town Lake Debris Issues,29.4
2015,Parking Violation Enforcement,29.979591836734695
2015,School Issues - Crossing Guards,30.910447761194035
2015,Sign - Street Name,33.893653516295025
2015,Speed Limit - Changes/Signs,37.747474747474747
2015,Channels/Creeks/Drainage Easement,38.875576036866356
2015,Sign - New,39.614202049780374
2015,School Zone - New/Review/Changes,40.6328125
2015,Standing Water,41.87081339712919
2015,Traffic Calming,42.064102564102555
2015,Parking Ticket Complaint,42.165289256198335
2015,Traffic Engineering - General,43.602409638554214
2015,Road Markings/Striping - New,44.020202020202021
2015,Road Markings/Striping - Maintenance,44.598650927487348
2015,Traffic Signal - New/Change,46.815201192250377
2015,Animal Bite,49.156836461126012
2015,Drainage - Miscellaneous,50.387596899224789
2015,Curb/Gutter Repair,51.743589743589745
2015,Street Resurfacing Inquiry,59.645714285714291
2015,Tree Issue ROW/Maintenance (PW),60.430599369085186
2015,Obstruction in ROW,62.031500572737691
2015,Tree Issue ROW/Emergency (PW),91.067911714770787
2015,ARR Brush and Bulk,92.7640306122449
2015,Injured / Sick Animal,94.301521438450891
2015,Bridge Repair,105.02857142857142
2015,Alley & Unpaved Street Maintenance,105.94280078895466
2015,LeadSmart Program,118.4
2015,EV PIE Station Issues,118.94736842105263
2015,Pavement Failure,120.62114904246462
2015,Bicycle Issues,131.70637119113573
2015,Neighborhood Home Programs,144.33333333333334
2015,Mowing Medians,146.91758241758242
2015,Dangerous/Vicious Dog Investigation,167.86556169429102
2015,Guardrail - New,170.08333333333334
2015,Wildlife Exposure,170.53703703703704
2015,Animal Trapped in Storm Drain,170.986013986014
2015,Found Animal - Pick Up,180.97130242825608
2015,Loose Animal Not Dog,185.55956112852664
2015,Animal In Vehicle,201.56028368794327
2015,Animal - Proper Care,215.65880102040813
2015,Ordinance Universal Recycling,256.58620689655174
2015,Ordinance Single-Use Carryout Bags,261.42105263157896
2015,Loose Dog,274.88701870187026
2015,Animal Roadside Sales,292.6875
2015,Animal Control - Assistance Request,297.66312056737593
2015,EV PIP Residential Rebate,327.9
2015,ARR Dumpster,446.69230769230768
2015,Water Theft Report,525.784946236559
2015,Obstruction - Urban Forestry,562.45454545454538
2015,Public Health - Graffiti Abatement,665.36842105263156
2015,AFD - Wildfire Concern / Presentation,1005.8333333333333
2015,Public Health - Environmental Services - City,1142.1428571428571
2015,Austin Code - Construction Rest Break Complaint,1203.0
2015,Animal Protection - Found Animal Assistance,2678.5
2015,Animal Protection - Dangerous Dog Complaint,2774.0
2015,Animal Protection - Animal In Vehicle,2914.0
2015,Animal Protection - Assistance Request,2990.7142857142858
2015,Animal Protection - Injured/Sick Animal,3030.0
2015,Animal Protection - Wildlife Exposure,3071.5
2015,Animal Protection - Loose Dog,3083.666666666667
2015,Animal Protection - Animal Bite,3084.5
2015,Animal Protection - Vicious Dog Complaint,3095.0
2016,Lane/Road Closure Notification,0.0
2016,Fence Repair - MOPAC,0.0
2016,Newspaper Rack- ROW,0.0
2016,Parking Violation Enforcement,0.3048780487804878
2016,Street Lights New,0.38461538461538469
2016,Mowing City Parks,0.4375
2016,Austin Code - Construction Ordinance SR,0.5
2016,Park Maintenance - Grounds,0.58386167146974077
2016,Austin Code - Short Term Rental (STR) Appointment,0.60674157303370779
2016,Park Maintenance - Grounds Electrical Issues,0.62380952380952381
2016,Park Maintenance - Grounds Plumbing Issues,0.67624020887728453
2016,Austin Code - Short Term Rental Complaint SR,0.70270270270270274
2016,Traffic Signal - Dig Tess Request,0.90269828291087506
2016,ARR Dead Animal Collection,0.90465239695736754
2016,Residential Parking Permit Enforcement,1.0
2016,Austin Code - Woodridge Apt,1.0
2016,Park Maintenance - Building Plumbing Issues,1.0238095238095239
2016,Park Maintenance - Building Electrical Issues,1.103448275862069
2016,Park Maintenance - Building Issues,1.1587301587301588
2016,Park Maintenance - Cemeteries,1.2758620689655171
2016,Construction/Permitting- ROW,1.3636363636363638
2016,Loud Commercial Music,1.4434782608695651
2016,Valet Permit - ROW,1.5
2016,Parking Permit- ROW,1.5833333333333333
2016,Austin Code - Signs/Billboards,1.604054054054054
2016,Vendor Permit - ROW,1.625
2016,Park Maintenance - Building A/C & Heating Issues,1.76
2016,Austin Code - Request Code Officer,2.3113141862489122
2016,Parking Machine Issue,2.390087463556851
2016,Park Maintenance - Pool Issues,2.5927272727272723
2016,Austin Code - Construction Rest Break Complaint,2.9444444444444442
2016,Construction Items- ROW,3.0
2016,Street Light Issue- Multiple poles/multiple streets,3.602272727272728
2016,ARR Missed Recycling,4.3199165175909355
2016,ARR Street Sweeping,4.3421052631578947
2016,School Zone Flasher - Timing/Maintenance,4.4648910411622262
2016,Traffic Signal - Maintenance,4.5970245795601548
2016,Sign - School Zone Sign Maintenance,4.8051948051948052
2016,Street Light Issue- Address,5.195105254150266
2016,ARR Missed Yard Trimmings /Organics,5.602399781838014
2016,Water Waste Report,7.0113397732045355
2016,Sign - Traffic Sign Maintenance,7.5413771320277956
2016,Sign - Traffic Sign Emergency,8.2631578947368443
2016,Sign - Parking Sign Maintenance,9.0474777448071215
2016,Utility Coordination - ROW,10.0
2016,Aquatics Hotline Inquiry,10.148626817447495
2016,Concerns in the ROW,11.673499267935577
2016,Construction items in ROW,12.930188679245282
2016,Sign - Street Name,16.172839506172842
2016,View Obstruction at Intersection,16.411225658648338
2016,Animal In Vehicle,19.180434782608696
2016,Traffic Engineering - Jurisdiction Issue,21.0
2016,Sidewalk/Curb Ramp/Route - NEW,23.987179487179493
2016,Traffic Calming,26.072429906542055
2016,Speed Limit - Changes/Signs,29.580246913580243
2016,Road Markings/Striping - New,31.541076487252123
2016,Traffic Engineering - General,32.196172248803826
2016,Animal Bite,33.374468085106393
2016,Graffiti Abatement,33.799002685078626
2016,Sign - New,34.802948021722258
2016,Road Markings/Striping - Maintenance,39.030162412993043
2016,Found Animal Report - Keep,43.218128654970762
2016,Animal - Proper Care,45.0158625247852
2016,ARR Brush and Bulk,50.466592427616931
2016,Injured / Sick Animal,54.542972247090411
2016,Standing Water,62.602898550724646
2016,Animal Control - Assistance Request,65.5473055994383
2016,Traffic Signal - New/Change,68.719342604298362
2016,Ditch/Driveway Pipe Services,70.3768115942029
2016,Guardrail - New,72.0
2016,School Issues - Crossing Guards,74.770491803278674
2016,Loose Animal Not Dog,77.318600368324113
2016,School Zone - New/Review/Changes,78.817204301075279
2016,Dangerous/Vicious Dog Investigation,84.862888482632556
2016,Road Sanding Request,91.5
2016,Found Animal - Pick Up,93.3027139874739
2016,Drainage - Miscellaneous,93.468354430379748
2016,Loose Dog,94.198094800872241
2016,Wildlife Exposure,99.810457516339866
2016,Animal Trapped in Storm Drain,105.08593749999999
2016,Lost Item in Storm Drainage System,111.20521172638436
2016,Creek & Pond Vegetation Control,129.71663619744058
2016,Channels/Creeks/Drainage Easement,130.91310541310543
2016,Storm Drain Pipe Services,140.10000000000002
2016,Flooding - Past,140.69565217391303
2016,Street Resurfacing Inquiry,143.20858895705518
2016,Flooding  Current (Non-Emergency),144.1010101010101
2016,Town Lake Debris Issues,144.18181818181819
2016,Public Health - Graffiti Abatement,173.19566898685227
2016,AFD - Wildfire Concern / Presentation,174.21428571428572
2016,Guardrail Repair,174.33333333333337
2016,Debris in Street,183.33739218670723
2016,Tree Issue ROW/Emergency (PW),188.36
2016,Ordinance Universal Recycling,197.54761904761904
2016,Bicycle Issues,207.11138613861388
2016,Tree Issue ROW/Maintenance (PW),214.73255813953489
2016,Barricade Request,222.01298701298703
2016,Animal Roadside Sales,225.82142857142856
2016,Obstruction in ROW,228.89334195216551
2016,Roadway Spillage,229.68750000000003
2016,Ordinance Single-Use Carryout Bags,230.92307692307693
2016,Mowing Medians,239.9416581371546
2016,Pothole Repair,243.87560975609756
2016,Bridge Repair,246.225
2016,Sidewalk Repair,246.33277310924367
2016,Obstruction - Urban Forestry,260.77777777777777
2016,Pavement Failure,268.13092783505158
2016,Curb/Gutter Repair,331.73913043478251
2016,Neighborhood Home Programs,336.32967032967031
2016,Alley & Unpaved Street Maintenance,378.25158562367864
2016,Coyote Complaints,408.125
2016,Water Theft Report,539.21126760563391
2016,Tree Issue ROW,751.10909090909092
2016,Public Health - Environmental Services - County,798.0
2016,Guardrail New/Repair,804.75
2016,Public Health - Environmental Services - City,856.99999999999989
2016,EV PIE Station Issues,869.14285714285711
2016,Street Resurfacing,879.51724137931035
2016,ARR Dumpster,901.33333333333337
2016,EV PIP Residential Rebate,963.5
2016,AW - Water Waste Report,1158.7352941176471
2016,AW - Water Conservation Violation,2171.125
2016,Animal Protection - Animal In Vehicle,2517.0
2016,Animal Protection - Found Animal Assistance,2525.6666666666665
2016,Animal Protection - Assistance Request,2583.2000000000003
2016,Animal Protection - Injured/Sick Animal,2613.2
2016,Animal Protection - Loose Animal Not Dog,2642.5
2016,Animal Protection - Loose Dog,2652.75
2016,Animal Protection - Wildlife Exposure,2686.0
2016,Animal Protection - Animal Bite,2885.0
2017,Lane/Road Closure Notification,0.0
2017,Austin Code - Construction Rest Break Complaint,0.0
2017,Filming Permit - ROW,0.0
2017,Valet Permit - ROW,0.0
2017,Austin Code - Short Term Rental Complaint SR,0.0009560229445506694
2017,Austin Code - Signs/Billboards,0.020376175548589344
2017,Austin Code - Short Term Rental (STR) Appointment,0.025252525252525256
2017,Austin Code - Request Code Officer,0.038305709023941092
2017,Street Lights New,0.34539473684210525
2017,Parking Permit- ROW,0.5
2017,Park Maintenance - Pool Issues,0.59782608695652173
2017,Loud Commercial Music,0.62029923170238588
2017,Park Maintenance - Building Issues,0.67441860465116277
2017,Park Maintenance - Grounds,0.69444444444444464
2017,ARR Dead Animal Collection,0.70335570469798681
2017,Park Maintenance - Grounds Electrical Issues,0.71084337349397586
2017,Park Maintenance - Cemeteries,0.73529411764705888
2017,Park Maintenance - Building Electrical Issues,0.74193548387096786
2017,Park Maintenance - Grounds Plumbing Issues,0.76
2017,Construction/Permitting- ROW,0.81250000000000022
2017,Park Maintenance - Building Plumbing Issues,0.846153846153846
2017,Park Maintenance - Building A/C & Heating Issues,0.9647058823529413
2017,Mowing City Parks,0.97350993377483441
2017,Vendor Permit - ROW,1.2000000000000002
2017,Parking Machine Issue,1.7275503970678074
2017,Concerns in the ROW,1.8164948453608252
2017,zCoyote Complaints,2.0
2017,Construction items in ROW,2.7847222222222223
2017,ARR Missed Yard Trimmings/Compost,2.860243515087348
2017,Street Light Issue- Multiple poles/multiple streets,3.2802547770700636
2017,ARR Missed Recycling,3.6169585856932396
2017,ARR Missed Yard Trimmings /Organics,3.6538586779550632
2017,Newspaper Rack- ROW,4.0
2017,Animal Roadside Sales,6.1071428571428568
2017,Street Light Issue- Address,6.1529392500409372
2017,Parking Violation Enforcement,6.4530386740331487
2017,Animal Trapped in Storm Drain,6.5593220338983063
2017,Traffic Signal - Dig Tess Request,7.60475651189128
2017,Found Animal Report - Keep,7.9325912183055047
2017,Traffic Engineering - Jurisdiction Issue,9.0
2017,ARR Street Sweeping,9.2414448669201512
2017,Water Waste Report,9.3072390572390571
2017,Animal In Vehicle,9.504930966469427
2017,View Obstruction at Intersection,14.413721413721413
2017,Residential Parking Permit Enforcement,15.302325581395346
2017,Traffic Signal - Maintenance,17.157857432158767
2017,Traffic Calming,18.563679245283023
2017,School Zone Flasher - Timing/Maintenance,21.800000000000004
2017,Sign - Traffic Sign Maintenance,23.095939086294415
2017,Sign - Street Name,23.733668341708547
2017,ARR Brush and Bulk,23.947266569908077
2017,Animal Bite,24.325597749648377
2017,Aquatics Hotline Inquiry,24.598425196850393
2017,Sign - Parking Sign Maintenance,26.045845272206307
2017,Loose Dog,26.430752584755947
2017,Speed Limit - Changes/Signs,26.885245901639344
2017,Sidewalk/Curb Ramp/Route - NEW,27.597457627118647
2017,Animal Control - Assistance Request,27.63945463726645
2017,Sign - Traffic Sign Emergency,27.765492102065615
2017,Public Health - Environmental Services - City,28.6175972927242
2017,Road Markings/Striping - New,29.056980056980063
2017,Found Animal - Pick Up,29.058883248730968
2017,Traffic Engineering - General,29.108231707317074
2017,Sign - School Zone Sign Maintenance,29.766666666666669
2017,Animal - Proper Care,30.76565096952908
2017,Sign - New,30.922664624808576
2017,Wildlife Exposure,33.532170775706554
2017,Dangerous/Vicious Dog Investigation,35.633116883116884
2017,Loose Animal Not Dog,36.197707736389695
2017,Public Health - Environmental Services - County,39.672727272727279
2017,Road Markings/Striping - Maintenance,45.3675
2017,Injured / Sick Animal,45.8948082138706
2017,School Issues - Crossing Guards,53.359999999999992
2017,School Zone - New/Review/Changes,56.01398601398602
2017,Standing Water,58.063829787234042
2017,Traffic Signal - New/Change,80.061743341404352
2017,Public Health - Graffiti Abatement,82.99137466307279
2017,Street Resurfacing Inquiry,92.97727272727272
2017,Ditch/Driveway Pipe Services,98.805555555555557
2017,AFD - Wildfire Concern / Presentation,121.81081081081081
2017,Obstruction - Urban Forestry,133.16666666666669
2017,Fence/Wall Repair,135.75
2017,Creek & Pond Vegetation Control,136.76363636363635
2017,Flooding - Past,146.42857142857139
2017,Channels/Creeks/Drainage Easement,147.98012232415903
2017,Flooding  Current (Non-Emergency),148.912
2017,Pothole Repair,149.58396188963872
2017,Tree Issue ROW/Maintenance (PW),151.30927835051551
2017,Lost Item in Storm Drainage System,152.23646723646723
2017,Curb/Gutter Repair,153.75647668393779
2017,Debris in Street,164.18546511627909
2017,Alley & Unpaved Street Maintenance,172.340206185567
2017,Pavement Failure,174.59408602150535
2017,Mowing Medians,176.83274021352312
2017,Guardrail Repair,179.88311688311688
2017,Fence Repair - MOPAC,181.0
2017,Road Sanding Request,183.5
2017,Coyote Complaints,185.85977011494253
2017,Guardrail - New,186.33333333333334
2017,Sidewalk Repair,186.57015810276675
2017,Tree Issue ROW/Emergency (PW),186.73716012084591
2017,Town Lake Debris Issues,198.4
2017,Roadway Spillage,203.38461538461539
2017,Barricade Request,204.56250000000003
2017,Obstruction in ROW,210.37902483900643
2017,Bridge Repair,211.34482758620689
2017,Storm Drain Pipe Services,211.75
2017,Bicycle Issues,219.91130820399115
2017,zz - Coyote Compliants,241.42857142857142
2017,Tree Issue ROW,244.5519077196096
2017,Street Resurfacing,279.98876404494388
2017,Water Theft Report,398.57317073170736
2017,Guardrail New/Repair,429.28571428571433
2017,Ordinance Single-Use Carryout Bags,485.6
2017,EV PIP Residential Rebate,553.33333333333337
2017,Neighborhood Home Programs,562.95
2017,ARR Dumpster,572.75
2017,EV PIE Station Issues,608.55555555555554
2017,AW - Water Waste Report,883.884892086331
2017,Ordinance Universal Recycling,904.5
2017,AW - Water Conservation Violation,1934.8888888888891
2017,Animal Protection - Wildlife Exposure,2056.0
2017,Animal Protection - Assistance Request,2210.333333333333
2017,Animal Protection - Animal In Vehicle,2210.5
2017,Animal Protection - Loose Animal Not Dog,2216.0
2017,Animal Protection - Found Animal Assistance,2244.0
2017,Animal Protection - Animal Bite,2245.5
2017,Animal Protection - Injured/Sick Animal,2294.3333333333335
2017,Animal Protection - Animal Proper Care,2314.0
2017,Animal Protection - Loose Dog,2327.7272727272725
2018,EV PIP Residential Rebate,0.0
2018,Lane/Road Closure Notification,0.01186375813241485
2018,Austin Code - Short Term Rental Complaint SR,0.022739877981142544
2018,Austin Code - Construction Rest Break Complaint,0.029411764705882353
2018,Austin Code - Request Code Officer,0.045247437033286937
2018,Austin Code - Signs/Billboards,0.056795131845841812
2018,Loud Commercial Music,0.44873699851411586
2018,Residential Parking Permit Enforcement,0.51724137931034486
2018,Austin Code - Short Term Rental (STR) Appointment,0.53086419753086411
2018,Street Lights New,0.59121621621621634
2018,ARR Dead Animal Collection,0.61661832451800058
2018,Park Maintenance - Pool Issues,1.3742038216560508
2018,Park Maintenance - Grounds Plumbing Issues,1.412921348314607
2018,Park Maintenance - Grounds Electrical Issues,1.5506607929515417
2018,Park Maintenance - Building Plumbing Issues,1.6691176470588238
2018,Park Maintenance - Grounds,1.6867584242999525
2018,Parking Machine Issue,1.6969301110385371
2018,Park Maintenance - Building Electrical Issues,1.75
2018,Filming Permit - ROW,1.75
2018,Dockless Mobility,1.7841666666666665
2018,Park Maintenance - Building A/C & Heating Issues,1.8476190476190477
2018,Mowing City Parks,1.9139784946236555
2018,Park Maintenance - Building Issues,1.9189189189189191
