source,complaint_description,total_requests
Phone,Austin Code - Request Code Officer,139301
Phone,Traffic Signal - Maintenance,96135
Phone,Loose Dog,71411
Phone,ARR Missed Recycling,55341
Phone,Animal Control - Assistance Request,54493
Phone,Injured / Sick Animal,49261
Phone,ARR Dead Animal Collection,41304
Spot311 Interface,Austin Code - Request Code Officer,37712
Phone,Street Light Issue- Address,36525
Phone,ARR Missed Yard Trimmings/Compost,35645
Phone,ARR - Garbage,34027
Web,Austin Code - Request Code Officer,31954
Spot311 Interface,ATD - Parking Violation Enforcement,27824
Phone,ARR - Compost,25205
Phone,ARR - Storm Debris Collection,22721
Spot311 Interface,Park Maintenance - Grounds,22181
Spot311 Interface,ATD - Shared Micromobility,21842
Phone,Tree Issue ROW,20125
Phone,Debris in Street,20036
Phone,APD - Non Emergency Collision,19151
Spot311 Interface,ARR - Storm Debris Collection,18672
Phone,ARR - Recycling,18163
Phone,ARR Brush and Bulk,16041
Phone,Animal - Proper Care,15985
Phone,Park Maintenance - Grounds,14961
Phone,Traffic Signal - Dig Tess Request,14539
Spot311 Interface,Pothole Repair,14518
Phone,Code Compliance,14414
Phone,ARR Missed Yard Trimmings /Organics,14298
Spot311 Interface,Loud Commercial Music,13737
Phone,Pothole Repair,13472
Phone,APD - Non Emergency Noise/Alarm,13020
Phone,Wildlife Exposure,12931
Phone,Animal Bite,12870
Phone,Parking Machine Issue,12334
Spot311 Interface,Parking Violation Enforcement,11987
Phone,Obstruction in ROW,11775
Spot311 Interface,311 CC - Other,11666
Phone,Found Animal - Pick Up,10789
Spot311 Interface,APD - Non Emergency Noise/Alarm,10369
Spot311 Interface,Shared Micromobility,9334
Phone,APD - Vehicle Abatement Report,9191
Phone,Water Waste Report,8983
Spot311 Interface,Public Health - Graffiti Abatement,8897
Spot311 Interface,Loose Dog,8594
Phone,Lane/Road Closure Notification,8451
Phone,DSD - Follow-Up,8286
Phone,Sign - Traffic Sign Emergency,7944
Spot311 Interface,Austin Code - Short Term Rental Complaint SR,7759
Spot311 Interface,Sign - Traffic Sign Maintenance,7666
Phone,Concerns in the ROW,7631
Spot311 Interface,ARR Dead Animal Collection,7520
Spot311 Interface,Found Animal Report - Keep,7163
Phone,Loud Music,7160
Spot311 Interface,APD - Vehicle Abatement Report,7151
Phone,ACD - Request Code Officer,7119
Phone,Sign - New,6964
Phone,Pavement Failure,6944
Phone,ARR - Dead Animal Collection,6915
Phone,Sign - Traffic Sign Maintenance,6348
Phone,Loud Commercial Music,6143
Phone,Animal Protection - Loose Dog,6073
Phone,Animal Services - Contact Request,5813
Spot311 Interface,Sidewalk Repair,5750
Phone,Tree Issue ROW/Emergency (PW),5667
Mass Entry,Graffiti Abatement,5659
Phone,Loose Animal Not Dog,5645
Spot311 Interface,ACD - Request Code Officer,5589
Spot311 Interface,ATD - Traffic Sign Maintenance,5526
Web,ARR - Storm Debris Collection,5460
Phone,Channels/Creeks/Drainage Easement,5430
Phone,Public Health - Graffiti Abatement,5386
Phone,Dangerous/Vicious Dog Investigation,5358
Phone,Pet Resource Center - Assistance Request,5096
Phone,Austin Code - Signs/Billboards,5024
Phone,Austin Code - Short Term Rental Complaint SR,4977
Phone,Public Health - Environmental Services - City,4940
Phone,AE Street Light Issue - Address,4882
Phone,Animal Protection - Injured/Sick Animal,4879
Phone,Sidewalk Repair,4759
Phone,ARR - General,4753
Phone,Tree Issue ROW/Maintenance (PW),4655
Phone,Graffiti Abatement,4428
Phone,View Obstruction at Intersection,4377
Phone,Traffic Engineering - General,4331
Phone,Coyote Complaints,4102
Spot311 Interface,APH - Graffiti Abatement - Public Property,4095
Phone,Creek & Pond Vegetation Control,4055
Phone,Road Markings/Striping - Maintenance,3877
Phone,Park Maintenance - Grounds Plumbing Issues,3862
Spot311 Interface,ATD - Concerns in Right of Way,3853
Spot311 Interface,ATD - Parking Sign Maintenance,3825
Phone,ARR Street Sweeping,3779
Phone,Sign - Street Name,3772
Phone,ARR - Bulk,3750
Spot311 Interface,AW - Water Conservation Violation,3708
Phone,Community Connections - Coronavirus,3552
Phone,Traffic Signal - New/Change,3544
Phone,AW - Water Conservation Violation,3536
Spot311 Interface,Sign - New,3453
Phone,Found Animal Report - Keep,3431
Phone,Aquatics Hotline Inquiry,3423
Mobile Device,Austin Code - Request Code Officer,3393
Phone,Park Maintenance - Pool Issues,3329
Phone,Austin Code - Coronavirus,3312
Phone,Animal In Vehicle,3298
Phone,Dockless Mobility,3244
Spot311 Interface,Street Light Issue- Address,3240
Phone,School Zone Flasher - Timing/Maintenance,3239
Spot311 Interface,AE Street Light Issue - Address,3150
Spot311 Interface,ARR - Dead Animal Collection,3145
Spot311 Interface,Lane/Road Closure Notification,3097
Spot311 Interface,DSD - Outdoor Commercial Venue Music Complaint,3076
Phone,Animal Protection - Assistance Request,3014
Spot311 Interface,Dockless Mobility,2974
Phone,Animal Protection - Found Animal Assistance,2958
Web,Code Compliance,2950
Spot311 Interface,ATD - Lane/Road Closure Notification,2950
Phone,Mowing Medians,2947
Phone,Lost Item in Storm Drainage System,2852
Phone,Bicycle Issues,2850
Web,Traffic Signal - New/Change,2847
Phone,AW - Water Waste Report,2767
Spot311 Interface,Water Waste Report,2495
Phone,Alley & Unpaved Street Maintenance,2446
Phone,ATD - Parking Violation Enforcement,2437
Web,APD - Vehicle Abatement Report,2431
Web,Street Light Issue- Address,2392
Phone,ARR - Brush,2386
Phone,WPD - Channels/Creek/Drainage Issues,2378
Web,Pothole Repair,2285
Phone,Park Maintenance - Grounds Electrical Issues,2262
Phone,Street Light Issue- Multiple poles/multiple streets,2241
Web,Water Waste Report,2226
Mobile Device,Street Light Issue- Address,2191
Phone,Street Lights New,2185
Phone,DSD - Request Code Officer,2076
Phone,ATD - Traffic Signal - Maintenance,2057
Phone,ATD - Concerns in Right of Way,2037
Phone,PWD - Tree Issue Right of Way,1990
Phone,ATD - Lane/Road Closure Notification,1954
Phone,Road Markings/Striping - New,1939
Phone,Traffic Calming,1931
Mobile Device,Park Maintenance - Grounds,1926
Field Request,Water Waste Report,1923
Phone,ARR - On Call Bulk,1897
Spot311 Interface,Graffiti Abatement,1840
Phone,Parking Violation Enforcement,1797
Phone,Mowing City Parks,1787
Phone,Tree Issue ROW/Maintenance (PARD),1718
Mobile Device,Tree Issue ROW,1705
Phone,Construction Items in ROW,1701
Phone,Sign - Parking Sign Maintenance,1693
Spot311 Interface,Construction Items in ROW,1693
Phone,Shared Micromobility,1677
Spot311 Interface,ATD - Construction Items in Right of Way,1676
Phone,Animal Protection - Animal Proper Care,1673
Web,Graffiti Abatement,1638
Spot311 Interface,Flooding  Current (Non-Emergency),1625
Phone,Flooding  Current (Non-Emergency),1608
Spot311 Interface,DSD - Environmental Complaint,1573
Spot311 Interface,SBO - Pothole Repair,1563
Spot311 Interface,Austin Code - Coronavirus,1549
Phone,ATD - Dig Tess Request,1548
Spot311 Interface,Found Animal - Pick Up,1537
Phone,Construction items in ROW,1522
Phone,Animal Protection - Animal Bite,1494
Mobile Device,Traffic Signal - Maintenance,1490
Spot311 Interface,AW - Water Waste Report,1470
Phone,Park Maintenance - Building Plumbing Issues,1467
Phone,Sidewalk/Curb Ramp/Route - NEW,1447
Web,ACD - Request Code Officer,1416
Phone,Tree Issue ROW/Emergency (PARD),1388
Phone,SBO - Debris in Street,1297
Spot311 Interface,Sign - Parking Sign Maintenance,1286
Phone,APD - Vehicle Abatement Callback Request,1286
Web,Sidewalk Repair,1274
Spot311 Interface,Animal Protection - Loose Dog,1265
Phone,Animal Trapped in Storm Drain,1260
Phone,ATD - Construction Items in Right of Way,1222
Phone,ATD - Traffic Signal Maintenance,1216
Phone,Curb/Gutter Repair,1197
Phone,DSD - Environmental Complaint,1190
Phone,APH - Environmental Health Services - City,1174
Phone,Flooding - Past,1154
Web,Alley & Unpaved Street Maintenance,1147
Spot311 Interface,ATD - Street Name Sign Maintenance,1125
Phone,Standing Water,1092
Phone,ATD - Parking Machine Issue,1082
Spot311 Interface,DSD - Request Code Officer,1081
Phone,Bat Complaint,1076
Spot311 Interface,Zz_Loud Commercial Music,1067
Phone,ATD - Speed Management,1060
Web,Channels/Creeks/Drainage Easement,1058
Web,Sign - New,1047
E-Mail,AE Street Light Issue - Address,994
Phone,ATD - Traffic Sign New,990
Web,Pavement Failure,959
Phone,SBO - Obstruction in Right of Way,952
Phone,Street Resurfacing,947
Phone,Construction Items- ROW,942
Spot311 Interface,WPD - Channels/Creek/Drainage Issues,935
Phone,ATD - Traffic Sign Emergency,924
Web,Bicycle Issues,922
Phone,ATD - Traffic Sign Maintenance,917
Web,Public Health - Graffiti Abatement,912
Web,ATD - Parking Violation Enforcement,905
Web,Found Animal Report - Keep,902
Phone,Animal Protection - Wildlife Exposure,888
Spot311 Interface,Loud Music,884
Phone,SBO - Pothole Repair,878
Phone,Austin Code - Short Term Rental (STR) Appointment,875
Spot311 Interface,ARR Street Sweeping,871
E-Mail,Austin Code - Request Code Officer,863
Web,Public Health - Environmental Services - City,850
Phone,Pet Resource Center - Found Pet Report,845
Phone,ATD - Booting Complaint,845
Phone,Speed Management,842
Phone,APH - Graffiti Abatement - Public Property,842
Mobile Device,AE Street Light Issue - Address,835
Spot311 Interface,ARR - Street Sweeping,832
Phone,ARR - Street Sweeping,826
Phone,ATD - Road Markings/Striping - Maintenance,820
Phone,ATD - Shared Micromobility,819
Web,Sidewalk/Curb Ramp/Route - NEW,817
Web,Sign - Traffic Sign Maintenance,798
Phone,Code Compliance - Signs/Billboards,785
Mobile Device,Obstruction in ROW,778
E-Mail,Street Light Issue- Address,767
Spot311 Interface,Construction items in ROW,766
Spot311 Interface,ATD - Speed Management,751
Web,Traffic Calming,730
Phone,Park Maintenance - Building Issues,729
Spot311 Interface,ATD - Traffic Sign New,711
Web,AW - Water Conservation Violation,711
Phone,ZZ AFD - Fireworks Complaint,709
Spot311 Interface,ACD - Short Term Rental Complaint,703
Phone,ARR - Spillage Trash/Fluids,677
Web,DSD - Environmental Complaint,652
Spot311 Interface,ZZ AFD - Fireworks Complaint,616
Phone,TARA - Telecommunication Complaint,607
Spot311 Interface,SBO - Sidewalk Repair,598
Phone,Park Maintenance - Building A/C & Heating Issues,592
Spot311 Interface,School Zone Flasher - Timing/Maintenance,589
Phone,School Zone - New/Review/Changes,576
Spot311 Interface,ARR - Special Services,570
Mobile Device,Debris in Street,566
Spot311 Interface,Pet Resource Center - Found Pet Report,557
Phone,DSD - Outdoor Commercial Venue Music Complaint,547
Web,Austin Code - Coronavirus,537
Phone,Sign - School Zone Sign Maintenance,534
Web,Standing Water,529
Mobile Device,ACD - Request Code Officer,527
Phone,Ditch/Driveway Pipe Services,526
Spot311 Interface,Flooding Current (Non-Emergency),518
Spot311 Interface,Flooding - Past,514
Other,Traffic Signal - Maintenance,509
Phone,AE Street Light Issue - No Address,499
Spot311 Interface,Animal Protection - Found Animal Assistance,493
Phone,Animal Protection - Loose Animal Not Dog,491
Web,AE Street Light Issue - Address,489
Phone,Construction/Permitting- ROW,487
Phone,WPD - Lost Item in Storm Drainage System,483
Mass Entry,Code Compliance,482
Phone,Guardrail New/Repair,474
Phone,Animal Protection - Vicious Dog Complaint,473
Web,Street Resurfacing,471
Web,APD - Non Emergency Noise/Alarm,464
Web,DSD - Request Code Officer,459
Phone,Water Theft Report,458
Phone,Street Resurfacing Inquiry,458
Web,AW - Water Waste Report,449
Phone,Speed Limit - Changes/Signs,447
Spot311 Interface,Public Health - Environmental Services - City,443
Spot311 Interface,WPD - Flooding Current,442
Web,Road Markings/Striping - New,437
Web,Curb/Gutter Repair,435
Phone,Animal Protection - Coyote Complaints,434
Phone,Zz_ARR - Storm Debris Collection,426
Phone,Neighborhood Home Programs,421
Web,Road Markings/Striping - Maintenance,420
Phone,SBO - Pavement Failure,414
Phone,WPD - Storm Drain Services,409
Phone,ACD - Case Updates/Code Connect Messages,401
Spot311 Interface,ARR - Spillage Trash/Fluids,398
Phone,Parking Ticket Complaint,387
Spot311 Interface,Park Maintenance - Grounds Plumbing Issues,386
Phone,Roadway Spillage,385
Phone,School Issues - Crossing Guards,385
Mass Entry,Street Light Issue- Address,384
Phone,Loose Animal (not dog),366
Phone,Drainage - Miscellaneous,365
Phone,WPD - Drainage Pond Maintenance,359
Phone,ATD - School Zone Beacon - Maintenance,353
Mobile Device,Road Markings/Striping - Maintenance,347
Phone,Code Compliance - Short Term Rental (STR) Appointment,345
Mobile Device,Austin Code - Signs/Billboards,342
Field Request,Street Light Issue- Address,339
E-Mail,Community Connections - Coronavirus,338
Spot311 Interface,ATD - Road Markings/Striping - New,335
E-Mail,ACD - Request Code Officer,332
Phone,ARR - Special Services,331
Web,Park Maintenance - Grounds,326
Web,ATD - Traffic Signal - New/Modification,325
Phone,Guardrail Repair,323
Phone,SBO - Street and Bridge Miscellaneous,319
Spot311 Interface,ATD - Road Markings/Striping - Maintenance,317
Phone,ARR - Property Damage Report,310
Phone,ACD - Short Term Rental Complaint,307
Phone,ZZ - AFD - Fireworks Complaint,303
Mobile Device,Channels/Creeks/Drainage Easement,302
Phone,ATD - Special Event,301
Mobile Device,ATD - Road Markings/Striping - Maintenance,300
Phone,Storm Drain Pipe Services,298
Phone,ATD - Traffic Signal - New/Modification,297
Phone,ATD - Road Markings/Striping - New,296
Spot311 Interface,Austin Code - Construction Rest Break Complaint,294
Web,Sign - Street Name,293
Spot311 Interface,AFD - Fireworks Complaint,290
E-Mail,Traffic Signal - Maintenance,289
Phone,SBO - Sidewalk Repair,289
Other,Tree Issue ROW,283
Mobile Device,ARR Street Sweeping,283
Spot311 Interface,AFD - Wildfire Concern / Presentation,282
Spot311 Interface,ZZ - AFD - Fireworks Complaint,282
Web,ATD - Concerns in Right of Way,279
Phone,Short Term Rental Complaint SR,278
E-Mail,Park Maintenance - Grounds,277
Spot311 Interface,APH - Environmental Health Services - City,276
Phone,WPD - Standing Water,274
Phone,Bridge Repair,273
Mobile Device,Austin Code - Coronavirus,267
Web,Speed Limit - Changes/Signs,266
Phone,ATD - Bicycle &amp; Pedestrian Issues,265
Mobile Device,ARR - General,265
Web,Speed Management,265
Phone,Animal Protection - Dangerous Dog Complaint,264
Phone,ATD - View Obstruction and Fencing at Intersection,262
Phone,Public Health - Environmental Services - County,262
Web,APH - Graffiti Abatement - Public Property,256
Mobile Device,Animal - Proper Care,252
Spot311 Interface,Park Maintenance - Grounds Electrical Issues,250
Phone,Animal Roadside Sales,249
Phone,AFD - Fireworks Complaint,248
Web,Sign - Parking Sign Maintenance,247
Mobile Device,WPD - Channels/Creek/Drainage Issues,244
Spot311 Interface,WPD - Standing Water,244
Other,Animal Control - Assistance Request,244
Phone,Park Maintenance - Cemeteries,243
Phone,Park Maintenance - Building Electrical Issues,240
Spot311 Interface,Park Maintenance - Building Plumbing Issues,240
Spot311 Interface,ATD - Traffic Signal - Maintenance,236
Phone,Animal Protection - Animal In Vehicle,235
Web,Dockless Mobility,235
Spot311 Interface,Zz_ARR - Storm Debris Collection,229
Phone,Barricade Request,228
Spot311 Interface,APD - Non Emergency Collision,228
Mobile Device,ARR - Storm Debris Collection,225
Spot311 Interface,SBO - New Sidewalk/Curb Ramp/Route,224
E-Mail,ARR - Storm Debris Collection,220
Phone,SBO - New Sidewalk/Curb Ramp/Route,220
Phone,ARR - Household Hazardous Waste,213
Spot311 Interface,ARR - Property Damage Report,212
Web,WPD - Channels/Creek/Drainage Issues,211
Phone,ZZ - Tree Issue ROW,208
Phone,PARD - Aquatic Maintenance,204
Spot311 Interface,311 CRIS - City Vehicle Report,204
Phone,WPD - Flooding Current,203
Phone,APH - Community Connections Coronavirus,202
Mobile Device,DSD - Request Code Officer,201
Mobile Device,Bicycle Issues,200
E-Mail,DSD - Follow-Up,198
Web,School Zone - New/Review/Changes,198
Spot311 Interface,TARA - Telecommunication Complaint,196
Phone,311 CRIS - City Vehicle Report,193
E-Mail,Sign - Street Name,189
Spot311 Interface,SBO - Debris in Street,188
Phone,AW - Water Theft Report,188
Web,Storm Drain Pipe Services,188
Spot311 Interface,ATD - School Zone Beacon - Maintenance,185
E-Mail,Tree Issue ROW,183
Phone,ARR - On Call Brush,182
Web,AE Street Light Issue - No Address,180
Mobile Device,PWD - Tree Issue Right of Way,178
Web,ATD - Traffic Sign Maintenance,177
Phone,Flooding Current (Non-Emergency),177
Spot311 Interface,Park Maintenance - Building Issues,175
Spot311 Interface,Pet Resource Center - Assistance Request,174
Web,ACD - Short Term Rental Complaint,174
External Interface,Austin Code - Request Code Officer,173
Phone,SBO - Utility Cut Repair,173
Phone,Residential Parking Permit Enforcement,170
Spot311 Interface,ATD - School Zone Sign Maintenance,170
Mobile Device,Public Health - Graffiti Abatement,169
Phone,SBO - Street Resurfacing,167
Web,ATD - Traffic Sign New,165
Web,SBO - Pothole Repair,163
Mobile Device,Concerns in the ROW,162
Phone,ATD - Pay-by-Phone App,157
Phone,SBO - Alley & Unpaved Street Maintenance,157
E-Mail,APD - Non Emergency Noise/Alarm,157
Spot311 Interface,SBO - Obstruction in Right of Way,155
Phone,ATD - Parking Sign Maintenance,152
Web,ATD - Speed Management,152
Web,PWD - Tree Issue Right of Way,152
Web,Street Resurfacing Inquiry,151
Web,Neighborhood Home Programs,148
Phone,Animal Protection - Dog Restraint Issues,148
Spot311 Interface,Traffic Signal - Maintenance,143
Mobile Device,Pavement Failure,140
Phone,Basic Needs - Appointment,139
Phone,Flood Report,139
Other,Debris in Street,138
E-Mail,Traffic Engineering - General,137
Phone,Vendor Permit - ROW,136
Phone,ARR - Pet Search,135
E-Mail,Austin Code - Coronavirus,135
E-Mail,APD - Vehicle Abatement Report,135
Phone,WPD - Flooding Past,134
Spot311 Interface,Corridor Program Office - Corridor Feedback,128
Phone,HPD - Neighborhood Home Programs,128
Mobile Device,Sign - Traffic Sign Maintenance,128
Phone,Austin Code - Construction Ordinance SR,125
Phone,PWD - Mowing Medians,124
Spot311 Interface,DSD - Short Term Rental Complaint,121
Spot311 Interface,WPD - Drainage Pond Maintenance,119
Mobile Device,ATD - Construction Items in Right of Way,116
Spot311 Interface,WPD - Lady Bird Lake Debris Issues,115
Phone,Parking Permit- ROW,114
Web,Ditch/Driveway Pipe Services,113
Phone,ATD - Construction Concerns in Right of Way,112
Web,ARR - Dead Animal Collection,111
Phone,ATD - Street Name Sign Maintenance,110
Web,ATD - Bicycle &amp; Pedestrian Issues,110
Phone,AE - Key Accounts,109
Spot311 Interface,Tree Issue ROW,109
Other,ARR Dead Animal Collection,109
Phone,PARD - Aquatic Inquiries/Issues,106
Web,SBO - Obstruction in Right of Way,106
Mobile Device,Shared Micromobility,105
Mobile Device,SBO - Obstruction in Right of Way,104
E-Mail,WPD - Channels/Creek/Drainage Issues,103
Spot311 Interface,SBO - Pavement Failure,103
Web,DSD - Outdoor Commercial Venue Music Complaint,103
E-Mail,DSD - Request Code Officer,102
E-Mail,Sign - New,102
Mobile Device,APD - Vehicle Abatement Report,101
Mobile Device,Road Markings/Striping - New,100
Web,APH - Environmental Health Services - City,99
Phone,WPD - Ditch/Driveway Pipe Services,98
Phone,Flooding - Storms After Business Hours,97
Mobile Device,ATD - Shared Micromobility,96
Web,ARR - Street Sweeping,96
Spot311 Interface,PWD - Tree Issue Right of Way,96
Mobile Device,Park Maintenance - Grounds Plumbing Issues,94
Phone,ZZ Park Maintenance - Pool Issues,94
Spot311 Interface,WPD - Ditch/Driveway Pipe Services,93
Mobile Device,View Obstruction at Intersection,93
Web,ATD - Road Markings/Striping - Maintenance,93
E-Mail,AE Street Light Issue - No Address,92
Mobile Device,ARR - Street Sweeping,92
Spot311 Interface,Animal Protection - Animal Proper Care,92
Web,WPD - Drainage Pond Maintenance,92
Web,ATD - Shared Micromobility,91
Mobile Device,Creek & Pond Vegetation Control,91
Phone,SBO - Curb/Gutter Repair,91
Mobile Device,Traffic Signal - New/Change,90
Phone,WPD - Watershed Grow Zone Issues,89
Phone,Town Lake Debris Issues,88
Mobile Device,Construction Items in ROW,88
Web,ATD - Construction Items in Right of Way,88
Spot311 Interface,Park Maintenance - Building Electrical Issues,88
Mobile Device,Sidewalk Repair,88
Phone,Animal Protection - Animal Trapped in Storm Drain,88
Mobile Device,Park Maintenance - Grounds Electrical Issues,87
Mobile Device,311 CC - Other,86
Other,Austin Code - Request Code Officer,86
Phone,EV PIE Station Issues,86
Web,Sign - School Zone Sign Maintenance,85
Web,Bridge Repair,85
Spot311 Interface,AE - Electric Vehicle Station Issues,83
Spot311 Interface,ATD - Traffic Signal - Modification,83
Spot311 Interface,ARR - Pet Search,81
External Interface,Found Animal Report - Keep,81
Mobile Device,Sign - Traffic Sign Emergency,81
Web,Shared Micromobility,80
Mobile Device,Traffic Engineering - General,80
Mobile Device,Speed Management,80
Spot311 Interface,Pavement Failure,80
E-Mail,ATD - Concerns in Right of Way,79
Other,Sign - Traffic Sign Emergency,78
External Interface,Loud Commercial Music,78
Field Request,Sign - Parking Sign Maintenance,77
E-Mail,Austin Code - Signs/Billboards,77
Phone,ATD - School Zone Sign Maintenance,76
